武汉, 16902, 30.593098874230915, 114.30539287626743
孝感, 2541, 30.924568083068387, 113.9169030636549
黄冈, 2252, 30.454279, 114.872378
随州, 1049, 31.42, 113.22
荆州, 1045, 30.18, 112.16
襄阳, 1019, 32.008986015831866, 112.12241504341364
黄石, 805, 30.12, 115.06
宜昌, 749, 30.691966897477407, 111.28647107630968
鄂州, 725, 30.23, 114.52
荆门, 641, 31.02, 112.12
咸宁, 507, 29.84144307760727, 114.32249195873737
十堰, 481, 32.4, 110.47
仙桃, 416, 30.362640904224545, 113.45459315925837
天门, 217, 60.39, 113.1
恩施州, 187, 30.270382, 109.486756
潜江, 85, 30.26, 112.53
神农架林区, 10, 31.595062, 110.519221
深圳, 368, 22.33, 114.07
广州, 313, 23.129162936535767, 113.26443493366241
珠海, 85, 22.17, 113.34
佛山, 68, 23.02, 113.06
东莞, 60, 23.02, 113.45
中山, 56, 22.31, 113.22
惠州, 50, 23.05, 114.22
汕头, 25, 23.22, 116.41
湛江, 21, 21.11, 110.24
江门, 19, 22.35, 113.04
肇庆, 14, 23.03, 112.27
阳江, 13, 21.5, 111.58
梅州, 13, 24.19, 116.07
清远, 10, 23.42, 113.01
茂名, 10, 21.4, 110.53
揭阳, 7, 22.32, 116.21
韶关, 6, 24.48, 113.37
汕尾, 5, 22.47, 115.21
潮州, 5, 23.4, 116.38
河源, 3, 23.43, 114.41
待明确地区, 0, 39.934335, 116.386441
温州, 464, 28.021075462659883, 120.70404052734375
杭州, 155, 30.274085118199277, 120.15507012605667
宁波, 149, 29.52, 121.33
台州, 141, 28.41, 121.27
金华, 53, 29.07, 119.39
绍兴, 41, 30.0, 120.34
嘉兴, 40, 30.753923968341258, 120.75854301452637
丽水, 17, 28.27, 119.54
衢州, 15, 28.58, 118.52
湖州, 10, 30.52, 120.06
舟山, 7, 30.01, 122.06
信阳, 220, 32.07, 114.04
南阳, 134, 33.0, 112.32
郑州, 130, 34.746600119319744, 113.62536806613207
驻马店, 123, 32.58, 114.01
商丘, 83, 34.26, 115.38
周口, 65, 33.37, 114.38
平顶山, 52, 33.44, 113.17
新乡, 46, 35.18, 113.52
安阳, 45, 36.06, 114.21
